"list-view-price","celly","celly 2","celly 3","celly 4","list-view-location"
"19.500","1 +
                          1","50 m²","6
                        Yaşında","Yüksek Giriş","İzmir / Karşıyaka / Zübeyde Hanım Mah."
"15.000","2 +
                          1","95 m²","4
                        Yaşında","3. Kat","İzmir / Bayraklı / Muhittin Erener Mah."
"43.000","2 +
                          1","88 m²","11
                        Yaşında","3. Kat","İzmir / Karşıyaka / İnönü Mah."
"16.000","2 +
                          1","85 m²","30
                        Yaşında","Bahçe Katı","İzmir / Ödemiş / İnönü Mah."
"30.000","1 +
                          1","40 m²","7
                        Yaşında","Bahçe Katı","İzmir / Urla / Altıntaş Mah."
"122.000","4 +
                          1","300 m²","16
                        Yaşında","Bahçe Katı","İzmir / Güzelbahçe / Kahramandere Mah."
"30.000","3 +
                          1","115 m²","13
                        Yaşında","2. Kat","İzmir / Konak / Zafertepe Mah."
"25.000","3 +
                          1","130 m²","21
                        Yaşında","7. Kat","İzmir / Menemen / 30 Ağustos Mah."
"25.000","1 +
                          1","55 m²","4
                        Yaşında","Yüksek Giriş","İzmir / Buca / Yaylacık Mah."
"26.000","3 +
                          1","130 m²","26
                        Yaşında","2. Kat","İzmir / Karabağlar / Doğanay Mah."
"27.000","2 +
                          1","100 m²","3
                        Yaşında","6. Kat","İzmir / Çiğli / Esentepe Mah."
"29.000","3 +
                          1","120 m²","13
                        Yaşında","3. Kat","İzmir / Buca / Hürriyet Mah."
"32.000","2 +
                          1","90 m²","2
                        Yaşında","Bahçe Katı","İzmir / Aliağa / Şakran Sayfiye Mah."
"28.000","3 +
                          1","140 m²","35
                        Yaşında","5. Kat","İzmir / Bayraklı / Bayraklı Mah."
"35.000","2 +
                          1","90 m²","35
                        Yaşında","Ara Kat","İzmir / Buca / Efeler Mah."
"25.000","2 +
                          1","90 m²","6
                        Yaşında","1. Kat","İzmir / Menderes / Gümüldür Fevzi Çakmak Mah."
