"list-view-price","celly","celly 2","celly 3","celly 4","list-view-location"
"15.000","1 +
                          1","90 m²","New Property","1. Floor","Manisa / Akhisar / Cumhuriyet Mah."
"21.000","2 +
                          1","105 m²","5
                        at Age","Middle Floor","Manisa / Akhisar / Atatürk Mah."
"26.000","1 +
                          1","45 m²","2
                        at Age","1. Floor","Manisa / Yunusemre / Uncubozköy Mah."
"25.250","1 +
                          1","75 m²","4
                        at Age","3. Floor","Manisa / Turgutlu / Selvilitepe Mah."
"15.000","2 +
                          1","75 m²","5
                        at Age","2. Floor","Manisa / Yunusemre / Muradiye Mah."
"22.000","1 +
                          1","60 m²","New Property","3. Floor","Manisa / Yunusemre / Muradiye Mah."
"20.000","3 +
                          1","135 m²","6
                        at Age","3. Floor","Manisa / Akhisar / Atatürk Mah."
"24.000","2 +
                          1","110 m²","21
                        at Age","Middle Floor","Manisa / Yunusemre / Merkez Efendi Mah."
"20.000","1 +
                          1","60 m²","6
                        at Age","3. Floor","Manisa / Yunusemre / Yeni Mahalle Mah."
"28.000","3 +
                          1","145 m²","6
                        at Age","1. Floor","Manisa / Turgutlu / Ergenekon Mah."
"25.000","2 +
                          1","110 m²","New Property","3. Floor","Manisa / Akhisar / Atatürk Mah."
"20.000","1 +
                          1","60 m²","2
                        at Age","2. Floor","Manisa / Akhisar / Ulu Camii Mah."
"14.000","1 +
                          1","40 m²","4
                        at Age","3. Floor","Manisa / Turgutlu / Albayrak Mah."
"44.000","3 +
                          1","165 m²","11
                        at Age","2. Floor","Manisa / Yunusemre / Güzelyurt Mah."
"24.500","3 +
                          1","140 m²","6
                        at Age","3. Floor","Manisa / Turgutlu / Şehitler Mah."
"20.000","1 +
                          1","65 m²","6
                        at Age","1. Floor","Manisa / Yunusemre / Muradiye Mah."
"15.000","2 +
                          1","75 m²","6
                        at Age","2. Floor","Manisa / Alaşehir / İstasyon Mah."
"28.000","2 +
                          1","75 m²","5
                        at Age","3. Floor","Manisa / Yunusemre / Muradiye Mah."
"13.500","3 +
                          1","220 m²","35
                        at Age","1. Floor","Manisa / Turgutlu / Yiğitler Mah."
"55.000","3 +
                          1","135 m²","5
                        at Age","Garden Floor","Manisa / Yunusemre / Güzelyurt Mah."
"29.000","3 +
                          1","135 m²","16
                        at Age","2. Floor","Manisa / Yunusemre / Tevfikiye Mah."
"21.000","3 +
                          1","130 m²","6
                        at Age","2. Floor","Manisa / Yunusemre / Muradiye Mah."
"28.000","3 +
                          1","140 m²","16
                        at Age","2. Floor","Manisa / Yunusemre / Yeni Mahalle Mah."
"28.500","3 +
                          1","90 m²","11
                        at Age","1. Floor","Manisa / Yunusemre / Uncubozköy Mah."
"20.500","1 +
                          1","60 m²","6
                        at Age","Garden Floor","Manisa / Yunusemre / Muradiye Mah."
"17.000","2 +
                          1","95 m²","6
                        at Age","3. Floor","Manisa / Yunusemre / Muradiye Mah."
"18.000","2 +
                          1","65 m²","New Property","Raised Ground Floor","Manisa / Yunusemre / Muradiye Mah."
"22.000","3 +
                          1","6.551 m²","10
                        at Age","","Manisa / Şehzadeler / Sancaklıbozköy Mah."
"20.500","2 +
                          1","95 m²","5
                        at Age","Middle Floor","Manisa / Akhisar / Reşat Bey Mah."
"30.000","4 +
                          1","180 m²","6
                        at Age","3. Floor","Manisa / Turgutlu / Subaşı Mah."
"16.000","2 +
                          1","75 m²","3
                        at Age","2. Floor","Manisa / Salihli / Beşeylül Mah."
"16.000","1 +
                          1","45 m²","6
                        at Age","Raised Ground Floor","Manisa / Yunusemre / Karaali Mah."
"18.000","3 +
                          1","125 m²","20
                        at Age","Middle Floor","Manisa / Yunusemre / Ayni Ali Mah."
"35.000","3 +
                          1","115 m²","6
                        at Age","1. Floor","Manisa / Yunusemre / Güzelyurt Mah."
"25.000","2 +
                          1","102 m²","5
                        at Age","15. Floor","Manisa / Turgutlu / Selvilitepe Mah."
"42.000","2 +
                          1","85 m²","New Property","9. Floor","Manisa / Yunusemre / Güzelyurt Mah."
"15.000","2 +
                          1","90 m²","5
                        at Age","4. Floor","Manisa / Turgutlu / Yiğitler Mah."
"37.500","5 +
                          1","220 m²","10
                        at Age","5. Floor","Manisa / Salihli / Yörük Mah."
"21.000","3 +
                          1","120 m²","16
                        at Age","4. Floor","Manisa / Şehzadeler / Peker Mah."
"18.000","2 +
                          1","100 m²","5
                        at Age","2. Floor","Manisa / Akhisar / Reşat Bey Mah."
"24.500","2 +
                          1","95 m²","7
                        at Age","1. Floor","Manisa / Yunusemre / Yeni Mahalle Mah."
"25.000","3 +
                          1","135 m²","28
                        at Age","Middle Floor","Manisa / Yunusemre / Kaynak Mah."
"30.000","3 +
                          1","170 m²","6
                        at Age","1. Floor","Manisa / Turgutlu / Selvilitepe Mah."
"20.000","2 +
                          1","95 m²","21
                        at Age","5. Floor","Manisa / Yunusemre / Hafsa Sultan Mah."
"18.500","2 +
                          1","90 m²","New Property","2. Floor","Manisa / Yunusemre / Muradiye Mah."
"22.500","3 +
                          1","100 m²","2
                        at Age","2. Floor","Manisa / Yunusemre / Muradiye Mah."
"25.000","3 +
                          1","145 m²","26
                        at Age","5. Floor","Manisa / Şehzadeler / Peker Mah."
